Frame_Width (mm),Lens_Height (mm),Temple_Length (mm),Lens_Thickness (mm),Weight (g),Price ($)
126,47,138,1.166141084,42.27737959,303.6033672
139,44,140,2.656222365,20.61759833,136.1768852
148,35,133,4.038105344,30.71700775,386.6675146
134,48,139,4.496799082,41.01189336,390.1812924
130,30,132,1.390193177,15.71727654,104.8312113
127,30,135,3.098701852,16.01394286,233.8241737
148,42,132,2.053611955,38.69192234,368.7021462
140,32,138,2.498535478,40.37942744,303.3261576
126,39,132,4.733767319,44.60543031,351.3451416
145,32,147,2.408299092,28.98599355,366.4975466
138,38,137,2.461383721,28.64218328,262.0502508
142,37,137,1.837583303,34.33287905,156.9932535
130,32,144,4.840073672,41.50644343,362.3251823
130,42,142,2.825949427,37.43472689,295.0012321
143,35,136,3.281568536,26.45631563,237.9110781
140,42,148,2.812672369,27.12915398,261.3211755
123,49,137,2.011676307,41.70517274,257.1325256
127,49,139,4.241650453,33.71263316,227.4931383
143,41,146,1.113884904,18.42916615,188.4669464
122,42,130,3.76097372,20.3548234,211.3193432
141,31,142,3.377091242,44.79166316,407.2902479
140,45,142,1.577122603,49.95812011,326.8612726
121,35,145,1.663620177,26.7489017,243.3125829
143,48,138,3.636902352,28.53455815,339.679083
131,42,139,2.248555167,20.40708087,127.8694883
149,46,135,2.062952313,23.24995794,335.0964963
125,38,134,1.236624382,29.8620446,219.2161515
121,46,131,4.065932357,24.95363755,311.908444
147,31,140,4.530687741,39.54986991,430.6307122
140,48,138,4.279377407,33.82473045,321.1560682
120,48,135,2.864136478,43.78039949,184.2949056
131,36,137,3.135825634,40.35837212,274.8221958
145,39,138,1.969104776,19.48352142,210.3470563
141,39,138,1.691418958,19.3186138,172.9320953
148,49,137,4.2920047,46.34770235,349.328045
131,38,141,4.193376642,43.68289338,335.7443375
144,46,137,4.109439314,31.37710631,287.9878007
136,44,132,2.853437226,19.56274472,355.2791279
146,31,142,4.458031043,46.45017017,319.5551801
146,33,148,4.704928277,23.07451951,316.1716447
129,48,131,2.313377379,16.24371711,241.6336275
147,46,146,1.898777967,47.34838337,333.0518192
147,34,145,2.857052123,43.31274673,387.160361
135,36,133,1.717305427,39.27185923,280.0590627
134,47,147,4.536011541,16.19106251,163.9751997
149,36,143,2.351962,33.49509124,275.4915283
149,46,131,3.304687146,37.87726543,313.1584341
134,36,142,3.378877984,41.57715343,296.6241007
149,33,149,3.059951521,31.48758597,335.0423824
138,37,146,1.626102838,48.3672255,303.0329511
131,42,144,4.96400256,23.56733713,295.8451658
142,33,149,1.690412917,17.44072211,222.008438
139,35,134,4.006029442,26.64681858,226.3635826
144,34,136,4.165451496,38.16317046,332.1779802
122,41,147,1.580654833,40.80050215,203.1807479
124,33,140,4.732654046,40.8473914,317.414164
138,38,147,2.951035051,18.87358397,218.7660851
126,33,134,3.515531834,45.97813091,362.5106414
140,48,142,3.568744224,24.8291796,391.265984
128,43,147,3.019820502,22.34688877,272.6113234
126,34,131,1.568088176,36.50601169,283.6821205
137,47,149,4.007013432,22.41471761,280.8438141
123,39,133,3.32714334,32.78134725,203.4895722
144,48,142,1.474722461,29.24603938,313.8963599
147,41,145,3.801287875,23.12119919,327.4562365
133,47,135,3.811053043,25.22208714,275.2764302
137,46,137,3.193945784,29.9592531,322.4043344
145,40,145,1.362195241,27.11561212,293.4021636
128,32,142,2.410576125,28.35515245,250.8345452
145,46,133,1.203696431,40.74021175,291.3602334
140,30,131,2.910384075,20.89329694,209.8198504
121,44,138,4.625788528,36.96665056,249.5088046
139,38,147,1.00901193,38.73552215,320.2269676
147,44,146,2.066554612,43.07304662,360.5138329
134,32,137,4.199436405,44.65645114,253.7796707
147,48,144,1.039443335,20.55329402,123.4419753
126,42,138,1.040693748,19.83912664,198.408765
131,41,146,3.443274344,36.51698546,273.8407523
148,49,131,4.156799027,41.49207927,286.7422797
127,30,135,4.10602167,24.53142506,277.2779104
134,46,134,4.118312083,33.4046522,118.0770546
122,42,146,2.444025379,42.02838007,267.8644975
133,30,131,4.530896577,41.86260879,323.6016207
136,39,147,1.051342406,37.88370581,386.4028932
123,44,139,2.248754947,17.75756936,228.728778
137,36,139,2.348750779,16.77253511,343.0796972
127,47,135,1.662284503,28.59558585,310.9020203
123,45,141,2.344903892,15.93405993,258.0534592
121,43,146,3.34353652,46.64505161,331.4320202
149,47,142,3.081117251,15.70506327,268.7818841
125,36,149,2.277709434,16.03645017,213.3082362
141,46,145,3.997310055,20.78645824,171.9993985
129,47,139,3.859162314,36.94552961,288.5674327
123,41,131,2.122785908,33.95439492,296.9210627
141,37,131,2.292913571,38.08204978,315.8587755
148,31,136,2.150080795,46.27442994,408.7939037
137,36,135,1.515404666,30.92309778,269.9046305
145,33,130,4.011126572,16.53565916,173.8830335
131,47,141,1.185106042,41.72238188,243.9872367
121,35,142,1.602321976,43.4187562,318.3399609
129,38,141,1.421218071,16.7460926,236.7316057
149,38,148,4.301355902,23.49972528,319.0222843
123,43,138,1.176034062,41.97088798,169.4083324
133,37,139,3.65850916,28.16543335,338.3028831
